model,accuracy,precision,recall,f1
NaiveBayes,0.8337129840546698,0.8143656716417911,0.7850719424460432,0.7994505494505495
LogisticRegression,0.834092634776006,0.8475798146240988,0.7401079136690647,0.7902064330292847
LinearSVC,0.8337129840546698,0.8221797323135756,0.7733812949640287,0.7970342910101946
